time,cpu %,mem %
09:08:04,7.9,3.8
09:08:05,11.0,3.8
09:08:06,9.0,3.8
09:08:07,9.0,3.9
09:08:08,7.0,3.9
09:08:09,13.0,3.9
09:08:10,11.0,3.9
09:08:11,11.0,3.9
09:08:12,65.3,3.9
09:08:13,12.0,3.9
09:08:14,10.0,3.9
09:08:15,12.0,4.0
09:08:16,15.0,4.0
09:08:17,17.0,4.0
09:08:18,17.0,4.0
09:08:19,19.8,4.1
09:08:20,7.0,4.1
09:08:21,9.0,4.1
09:08:22,9.0,4.1
09:08:23,18.0,4.1
09:08:24,13.0,4.1
09:08:25,9.9,4.1
09:08:26,11.0,4.1
09:08:27,10.0,4.1
09:08:28,11.0,4.1
09:08:29,11.0,4.2
09:08:30,11.0,4.2
09:08:31,13.0,4.2
09:08:32,14.9,4.2
09:08:33,13.0,4.2
09:08:34,11.0,4.2
09:08:35,15.0,4.2
09:08:36,18.0,4.2
09:08:37,17.0,4.2
09:08:38,9.9,4.2
09:08:39,66.0,4.2
09:08:40,17.0,4.2
09:08:41,11.0,4.2
09:08:42,12.0,4.2
09:08:43,11.0,4.2
09:08:44,10.0,4.2
09:08:45,12.9,4.3
09:08:46,17.0,4.3
09:08:47,77.0,4.1
09:08:48,75.0,4.1
09:08:49,16.0,4.1
09:08:50,10.0,4.2
09:08:51,11.9,4.2
09:08:52,10.0,4.2
09:08:53,9.0,4.2
09:08:54,13.0,4.2
09:08:55,12.0,4.2
09:08:56,17.0,4.2
09:08:57,17.8,4.3
09:08:58,15.0,4.3
09:08:59,19.0,4.3
09:09:00,18.0,4.3
09:09:01,17.0,4.3
09:09:02,14.0,4.3
09:09:03,15.8,4.3
09:09:04,63.0,4.4
09:09:05,26.0,4.4
09:09:06,12.0,4.4
09:09:07,8.0,4.4
09:09:08,12.0,4.4
09:09:09,16.0,4.4
09:09:10,16.8,4.5
09:09:11,10.0,4.5
09:09:12,11.0,4.5
09:09:13,10.0,4.5
09:09:14,13.0,4.6
09:09:15,15.0,4.6
09:09:16,18.0,4.6
09:09:17,13.9,4.6
09:09:18,18.0,4.6
09:09:19,17.0,4.6
09:09:20,13.0,4.6
09:09:21,18.0,4.6
09:09:22,9.0,4.6
09:09:23,10.0,4.6
09:09:24,9.9,4.7
09:09:25,12.0,4.7
09:09:26,7.0,4.7
09:09:27,8.0,4.7
09:09:28,12.0,4.7
09:09:29,7.0,4.7
09:09:30,11.0,4.7
09:09:31,16.8,4.7
09:09:32,6.0,4.8
09:09:33,3.0,4.8
09:09:34,3.0,4.8
09:09:35,4.0,4.8
09:09:36,3.0,4.8
09:09:37,1.0,4.8
09:09:38,2.0,4.8
09:09:39,1.0,4.8
09:09:40,2.0,4.8
09:09:41,9.0,4.8
09:09:42,66.0,4.0
09:09:43,11.0,4.0
09:09:44,10.0,4.1
09:09:45,9.9,4.1
09:09:46,10.0,4.1
09:09:47,8.0,4.1
09:09:48,9.0,4.1
09:09:49,16.0,4.1
09:09:50,14.0,4.1
09:09:51,9.9,4.1
09:09:52,10.0,4.1
09:09:53,10.0,4.1
09:09:54,10.0,4.1
09:09:55,10.0,4.1
09:09:56,13.0,4.1
09:09:57,64.4,4.0
09:09:58,10.0,4.0
09:09:59,11.0,4.0
09:10:00,14.0,4.0
09:10:01,10.0,4.0
09:10:02,15.0,4.0
09:10:03,14.0,4.0
09:10:04,9.9,4.0
09:10:05,14.0,4.0
09:10:06,18.0,4.0
09:10:07,13.0,4.0
09:10:08,17.0,4.0
09:10:09,16.0,4.0
09:10:10,13.0,4.0
09:10:11,12.0,4.0
09:10:12,12.9,4.1
09:10:13,11.0,4.1
